President,Birth Date,Start of Presidency,End of Presidency,Death Date,Age at Death
George Washington,"Feb 22, 1732  ","Apr 30, 1789","Mar 4, 1797","Dec 14, 1799","67 years, 295 days"
John Adams,"Oct 30, 1735  ","Mar 4, 1797","Mar 4, 1801","Jul 4, 1826","90 years, 247 days"
Thomas Jefferson,"Apr 13, 1743  ","Mar 4, 1801","Mar 4, 1809","Jul 4, 1826","83 years, 82 days"
James Madison,"Mar 16, 1751  ","Mar 4, 1809","Mar 4, 1817","Jun 28, 1836","85 years, 104 days"
James Monroe,"Apr 28, 1758","Mar 4, 1817","Mar 4, 1825","Jul 4, 1831","73 years, 67 days"
John Quincy Adams,"Jul 11, 1767","Mar 4, 1825","Mar 4, 1829","Feb 23, 1848","80 years, 227 days"
Andrew Jackson,"Mar 15, 1767","Mar 4, 1829","Mar 4, 1837","Jun 8, 1845","78 years, 85 days"
Martin Van Buren,"Dec 5, 1782","Mar 4, 1837","Mar 4, 1841","Jul 24, 1862","79 years, 231 days"
"William HenryHarrison","Feb 9, 1773","Mar 4, 1841","Apr 4, 1841 ","Apr 4, 1841","68 years, 54 days"
John Tyler,"Mar 29, 1790","Apr 4, 1841","Mar 4, 1845","Jan 18, 1862","71 years, 295 days"
James Polk,"Nov 2, 1795","Mar 4, 1845","Mar 4, 1849","Jun 15, 1849","53 years, 225 days"
Zachary Taylor,"Nov 24, 1784","Mar 4, 1849","Jul 9, 1850 ","Jul 9, 1850","65 years, 227 days"
Millard Fillmore,"Jan 7, 1800","Jul 9, 1850","Mar 4, 1853","Mar 8, 1874","74 years, 60 days"
Franklin Pierce,"Nov 23, 1804","Mar 4, 1853","Mar 4, 1857","Oct 8, 1869","64 years, 319 days"
James Buchanan,"Apr 23, 1791","Mar 4, 1857","Mar 4, 1861","Jun 1, 1868","77 years, 39 days"
Abraham Lincoln,"Feb 12, 1809","Mar 4, 1861","Apr 15, 1865 ","Apr 15, 1865","56 years, 62 days"
Andrew Johnson,"Dec 29, 1808","Apr 15, 1865","Mar 4, 1869","Jul 31, 1875","66 years, 214 days"
Ulysses S. Grant,"Apr 27, 1822","Mar 4, 1869","Mar 4, 1877","Jul 23, 1885","63 years, 87 days"
Rutherford B. Hayes,"Oct 4, 1822","Mar 4, 1877","Mar 4, 1881","Jan 17, 1893","70 years, 105 days"
James A. Garfield,"Nov 19, 1831","Mar 4, 1881","Sep 19, 1881 ","Sep 19, 1881","49 years, 304 days"
Chester A. Arthur,"Oct 5, 1829","Sep 19, 1881","Mar 4, 1885","Nov 18, 1886","57 years, 44 days"
Grover Cleveland,"Mar 18, 1837","Mar 4, 1885","Mar 4, 1889","Jun 24, 1908","71 years, 98 days"
Benjamin Harrison,"Aug 20, 1833","Mar 4, 1889","Mar 4, 1893","Mar 13, 1901","67 years, 205 days"
Grover Cleveland,"Mar 18, 1837","Mar 4, 1893","Mar 4, 1897","Jun 24, 1908","71 years, 98   days"
William McKinley,"Jan 29, 1843","Mar 4, 1897","Sep 14, 1901 ","Sep 14, 1901","58 years, 228 days"
Theodore Roosevelt,"Oct 27, 1858","Sep 14, 1901","Mar 4, 1909","Jan 6, 1919","60 years, 71 days"
William H. Taft,"Sep 15, 1857","Mar 4, 1909","Mar 4, 1913","Mar 8, 1930","72 years, 174 days"
Woodrow Wilson,"Dec 28, 1856","Mar 4, 1913","Mar 4, 1921","Feb 3, 1924","67 years, 37 days"
Warren G. Harding,"Nov 2, 1865","Mar 4, 1921","Aug 2, 1923 ","Aug 2, 1923","57 years, 273 days"
Calvin Coolidge,"Jul 4, 1872","Aug 2, 1923","Mar 4, 1929","Jan 5, 1933","60 years, 185 days"
Herbert Hoover,"Aug 10, 1874","Mar 4, 1929","Mar 4, 1933","Oct 20, 1964","90 years, 71 days"
Franklin D. Roosevelt,"Jan 30, 1882","Mar 4, 1933","Apr 12, 1945 ","Apr 12, 1945","63 years, 72 days"
Harry S. Truman,"May 8, 1884","Apr 12, 1945","Jan 20, 1953","Dec 26, 1972","88 years, 232 days"
Dwight D. Eisenhower,"Oct 14, 1890","Jan 20, 1953","Jan 20, 1961","Mar 28, 1969","78 years, 165 days"
John F. Kennedy,"May 29, 1917","Jan 20, 1961","Nov 22, 1963 ","Nov 22, 1963","46 years, 177 days"
Lyndon B. Johnson,"Aug 27, 1908","Nov 22, 1963","Jan 20, 1969","Jan 22, 1973","64 years, 148 days"
Richard Nixon,"Jan 9, 1913","Jan 20, 1969","Aug 9, 1974[e]","Apr 22, 1994","81 years, 103 days"
Gerald Ford,"Jul 14, 1913","Aug 9, 1974","Jan 20, 1977","Dec 26, 2006","93 years, 165 days"
Jimmy Carter,"Oct 1, 1924","Jan 20, 1977","Jan 20, 1981",NA,"94 years, 65 days"
Ronald Reagan,"Feb 6, 1911","Jan 20, 1981","Jan 20, 1989","Jun 5, 2004","93 years, 120 days"
George H. W. Bush,"Jun 12, 1924","Jan 20, 1989","Jan 20, 1993","Nov 30, 2018","94 years, 171 days"
Bill Clinton,"Aug 19, 1946","Jan 20, 1993","Jan 20, 2001",NA,"72 years, 108 days"
George W. Bush,"Jul 6, 1946","Jan 20, 2001","Jan 20, 2009",NA,"72 years, 152 days"
Barack Obama,"Aug 4, 1961","Jan 20, 2009","Jan 20, 2017",NA,"57 years, 123 days"
Donald Trump,"Jun 14, 1946","Jan 20, 2017",NA,NA,"72 years, 174 days"